3.5.4;Régulateur VAV circulaire labcontrol;;;;;;;;;;;;;;;;;
3.5.4.1;Régulateur VAV circulaire labcontrol diamètre 100mm;;;;;;;;;;;;;;;;;
"3.5.4.2	";Régulateur VAV circulaire labcontrol diamètre 125mm;;;;;;;;;;;;;;;;;
"3.5.4.3	";Régulateur VAV circulaire labcontrol diamètre 250mm;;;;;;;;;;;;;;;;;
3.5.4.4;Régulateur VAV circulaire labcontrol diamètre 300mm;;;;;;;;;;;;;;;;;
"3.5.4.5	";Régulateur VAV circulaire labcontrol diamètre 350mm;;;;;;;;;;;;;;;;;
"3.5.4.6	";Régulateur VAV circulaire labcontrol diamètre 400mm;;;;;;;;;;;;;;;;;
"3.5.5	";Régulateur électronique pour système VAV;;;;;;;;;;;;;;;;;
"3.5.6	";Bouche de ventilation bureaux et locaux divers;;;;;;;;;;;;;;;;;
"3.5.7	";Bouche de ventilation de pulsion du hall de stockage;;;;;;;;;;;;;;;;;
"3.5.7.1	";Bouche de pulsion diamètre 315mm ;;;;;;;;;;;;;;;;;
"3.5.7.2	";Bouche de pulsion diamètre 400mm ;;;;;;;;;;;;;;;;;
"3.5.7.3	";Bouche de pulsion diamètre 630mm ;;;;;;;;;;;;;;;;;
"3.5.8	";Bouche de ventilation de reprise du hall de stockage;;;;;;;;;;;;;;;;;
3.5.8.1;Bouche 300 x 8 ;;;;;;;;;;;;;;;;;
3.5.8.2;"	Bouche 400 x 16 ";;;;;;;;;;;;;;;;;
"3.5.8.3	";Bouche 600 x 48;;;;;;;;;;;;;;;;;
3.5.9;Bouche de ventilation des zones CLEANROOM;;;;;;;;;;;;;;;;;
3.5.10;Batterie de post chauffe et post refroidissement ;;;;;;;;;;;;;;;;;
3.5.10.1;Batterie change-over 01;;;;;;;;;;;;;;;;;
3.5.10.2;Batterie change-over 02;;;;;;;;;;;;;;;;;
3.5.10.3;Batterie change-over 03;;;;;;;;;;;;;;;;;
3.5.10.4;Batterie change-over 04;;;;;;;;;;;;;;;;;
3.5.10.5;Batterie change-over 05;;;;;;;;;;;;;;;;;
3.5.10.6;Batterie change-over 06;;;;;;;;;;;;;;;;;
3.5.10.7;Batterie change-over 07;;;;;;;;;;;;;;;;;
3.5.10.8;Batterie change-over 08;;;;;;;;;;;;;;;;;
3.5.10.9;Batterie change-over 09;;;;;;;;;;;;;;;;;
3.5.10.10;Batterie change-over 10;;;;;;;;;;;;;;;;;
